person_id,first_name,family_name,position,avg_scoring_probability,possessions
1630578,Alperen,Sengun,F,0.1231667445642325,525
202710,Jimmy,Butler III,G,0.12322708309053979,369
1628983,Shai,Gilgeous-Alexander,G,0.16686245404876018,535
1629628,RJ,Barrett,G,0.1725782548530615,398
1631114,Jalen,Williams,C,0.18777460280463107,483
1631094,Paolo,Banchero,F,0.19328351267275698,313
1631097,Bennedict,Mathurin,G,0.19723573917643067,476
203507,Giannis,Antetokounmpo,F,0.19877904884013037,459
1630595,Cade,Cunningham,G,0.20939632754570328,482
1627759,Jaylen,Brown,G,0.21323717128784692,425
201142,Kevin,Durant,F,0.2169087598894222,438
1628369,Jayson,Tatum,F,0.21967910234811172,488
1641708,Amen,Thompson,G,0.22244208735778032,489
2544,LeBron,James,F,0.22273059396550246,515
1630162,Anthony,Edwards,G,0.22364074035781545,542
202681,Kyrie,Irving,G,0.2289142379869592,359
1630532,Franz,Wagner,F,0.23282232565931868,396
1630178,Tyrese,Maxey,G,0.24465893450078038,373
1627759,Jaylen,Brown,F,0.2494520300430369,425
1626181,Norman,Powell,G,0.2514514491962702,427
1628368,De'Aaron,Fox,G,0.2518225705494868,432
1631114,Jalen,Williams,F,0.25386838521509425,483
1630581,Josh,Giddey,F,0.26288444392648375,500
1629027,Trae,Young,G,0.263409059271101,523
1626164,Devin,Booker,G,0.2634148394813968,532
1629628,RJ,Barrett,F,0.26755939279773283,398
201935,James,Harden,G,0.2806690942560978,566
203999,Nikola,Jokić,C,0.2815978021105887,497
1630530,Trey,Murphy III,F,0.281625278113086,361
1629639,Tyler,Herro,G,0.2850647642445996,504
1630530,Trey,Murphy III,G,0.28804929424911047,361
1628973,Jalen,Brunson,G,0.29013189815824686,451
1630166,Deni,Avdija,F,0.29347776902956973,485
1641705,Victor,Wembanyama,C,0.2938953788135913,334
1628378,Donovan,Mitchell,G,0.29957084162578446,485
203081,Damian,Lillard,G,0.30137960997833796,408
1630703,Scoot,Henderson,G,0.30245627710672274,457
1630224,Jalen,Green,G,0.30359679009395657,568
1629012,Collin,Sexton,G,0.30413672581612455,432
1627783,Pascal,Siakam,F,0.30428526670836553,535
1626181,Norman,Powell,F,0.3046538224501427,427
201939,Stephen,Curry,G,0.30876509502497235,489
201942,DeMar,DeRozan,F,0.3097140194352429,523
1629632,Coby,White,G,0.3164872191208449,524
1629636,Darius,Garland,G,0.3176615585120421,505
1628970,Miles,Bridges,F,0.31768563379123677,438
1628370,Malik,Monk,G,0.3177327533417929,450
1629675,Naz,Reid,F,0.32415075608005156,554
1641739,Toumani,Camara,C,0.32757851752903966,529
203468,CJ,McCollum,G,0.3276078230696256,391
1627750,Jamal,Murray,G,0.3280644436742177,486
1628969,Mikal,Bridges,F,0.32809819831438786,558
203944,Julius,Randle,F,0.3282050647959732,478
1641718,Keyonte,George,G,0.3292934202986482,470
1630567,Scottie,Barnes,G,0.33132281962773297,459
1630559,Austin,Reaves,G,0.3318483997373827,522
203076,Anthony,Davis,C,0.3327129737059422,365
1629673,Jordan,Poole,G,0.33799793477483864,463
1630567,Scottie,Barnes,F,0.34133832968259514,459
1641708,Amen,Thompson,F,0.3475764241979754,489
1630596,Evan,Mobley,F,0.34845066759529325,496
203078,Bradley,Beal,F,0.3503234998354609,377
1626157,Karl-Anthony,Towns,C,0.3528528112950148,506
202710,Jimmy,Butler III,F,0.3594511147619521,369
1631128,Christian,Braun,G,0.35968184955730104,563
1631097,Bennedict,Mathurin,F,0.3611511058801944,476
1630166,Deni,Avdija,G,0.3618896548996305,485
203076,Anthony,Davis,F,0.3631363333638141,365
1630217,Desmond,Bane,G,0.3659486948183186,500
1629008,Michael,Porter Jr.,F,0.36733061167825865,545
1628991,Jaren,Jackson Jr.,F,0.3677754490854861,535
203952,Andrew,Wiggins,F,0.36887475128628483,407
